Date, AM Time, Accomplished, Goal, Todo/Calendar, AM Eye,, Make Bed,, AM Exercise,, AM Jaw,, AM Meds,, AM Food,, AM Teeth,, AM Bathe,, AM Fissure,, AM Dressed,, Awareness,, AM Eye 2,, Lunch,, Lunch Meds,, Lunch Fissure,, Shielding,, Welding,, EEG,, Organization,, Travel Prep,, Academic,, PM Eye,, PM Food,, PM Meds,, PM Teeth,, PM Fissure,, PM Exercise,, PM Jaw,, PM Eye,, Dental Guard,, PM Time, Other,, Notes
Date      , Time,Actua,Goal ,T,EY,,MB,,PT  ,    ,  JE,    ,MD,,FD,,BT,,SH,,FT,,CL,,SS,,EY,,FD ,   ,MD,,FT,,EM ,   ,WL,,OV ,   ,PL ,   ,PK,,EE,,EY,,FD,,MD,,BT,,FT,,PT  ,    ,JE  ,    ,EY,,DG,, Time,Ot,,N
          ,     ,     ,     , ,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,A,G,A,G,A,G,A,G,A,G,A,G,Act,Goa,A,G,A,G,Act,Goa,A,G,Act,Goa,Act,Goa,A,G,A,G,A,G,A,G,A,G,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,     ,A,G,
# I recommend filling this out after your morning routine is over.          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,

2018-03-06,09:07,     ,     , , ,1, ,1,    ,    ,    ,    , ,1, ,1, ,1, ,1, ,1, ,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-03-05,09:26,     ,     ,2,1,1,1,1,   0,    ,   0,    ,1,1,1,1,1,1,1, ,1,1,1,1, , ,1,1,   ,   ,0, ,0, ,   ,   ,0, ,   ,   ,   ,   , , ,0, , , ,1, ,0, ,0, ,0, ,   0,    ,    ,    , , ,0, ,     , , ,
2018-03-04,08:57,     ,     ,2,1,1,1,1,   1,   1,   1,   1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,   ,   ,0, ,0, ,   ,   ,0, ,  1,   ,   ,   , , , , , , ,1, ,0, ,0, ,0, ,   0,    ,   0,    ,1, ,0, ,     ,1,1,O:haven consult
2018-03-03,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-03-02,08:26,     ,     ,1,1, ,1, ,   0,    ,   0,    ,1, ,1, ,1, ,1, ,1, ,1, , , ,1, ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-03-01,08:40,     ,     ,1, ,1, ,1,    ,    ,    ,    , ,1, ,1, ,1, , , ,1, ,1, , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-02-28,11:06,     ,     ,1, , , , ,    ,    ,    ,    , ,1, , , ,1, ,1, ,1, , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, ,1,    ,    ,    ,    , ,1, ,1,     , , ,
2018-02-27,05:25,     ,     ,1, , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-02-26,09:15,     ,     ,2,1,1,1,1,   0,   1,   0,   1,1,1,1,1,1,1,1,1, ,1,1,1, , , , ,   ,   ,0, , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , ,0, ,0, ,0, ,   0,    ,   0,    ,0,1,0,0,     ,1,1,O:rubber fingers johnson compounding
2018-02-25,07:57,     ,     ,1,1,1,1,1,    ,    ,    ,    ,1,1,1,1, ,1, ,1, ,1, ,1, , , ,1,   ,   , , , , ,   ,  1, , ,   ,   ,   ,   , , , , , ,1, ,1, ,1, ,1, ,1,    ,    ,    ,    , ,1, , ,     , , ,
2018-02-24,08:29,     ,     ,2,1,1,1,1,   0,   1,   1,   1,1,1,1,1,1,1, ,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   ,1, , , ,1, ,1, ,1, ,1,1,1,1,   0,    ,   0,    ,1,1,0,1,     , , ,
2018-02-23,09:27,     ,     ,1, , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-02-22,05:39,     ,     ,2,1,1,1,1,   1,    ,   1,    ,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,  1,   , , , , ,   ,   , , ,   ,   ,   ,   ,1, , , , , , , , , ,0,1,0,1,    ,    ,    ,    ,1,1,0,1,     , , ,
2018-02-21,08:06,     ,     ,2,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1, , ,1,1,1,1, , ,1,1,  1,   ,1, ,1, ,  1,   , , ,   ,   ,   ,   , , , , ,1, ,1,1,1,1, ,1, ,1,    ,    ,    ,    ,1,1, , ,     , , ,
2018-02-20,05:28,     ,     ,2,1,1,1,1,   1,   1,   1,   1,1,1,1,1,1,1, , ,1,1,1,1, , ,1,1,  1,   ,1, ,1, ,   ,   , , ,   ,   ,   ,   , , , , ,1,1, ,1, ,1, ,1, ,1,    ,   1,    ,   1,1,1, ,1,     , , ,
2018-02-19,06:03,     ,     ,2,1,1,1, ,   1,   1,   1,   1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,  1,   ,1, ,1, ,  0,   ,0, ,  1,  1,   ,   ,0, ,0, ,0,1,1,1,0,1,0,1,0,1,   0,    ,   0,    ,1,1,0,1,     ,1, ,
2018-02-18,06:01,     ,     ,1,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1, , ,1,1,1,1, , ,1,1,  1,   , , , , ,   ,   , , ,  1,   ,   ,   ,1, , , ,1, ,1, ,0,1,0,1,0,1,    ,    ,    ,    ,1,1,0,1,     , , ,
2018-02-17,04:14,     ,     ,1, ,1, ,1,    ,   1,    ,   1, ,1, ,1, ,1, ,1, ,1, ,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , ,1, ,1, ,1,    ,    ,    ,    , ,1, ,1,     , , ,
2018-02-16,     ,     ,     ,0, , , , ,    ,    ,    ,    ,1, , , , , , , , , , , , , , , ,  1,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    ,1, , , ,     , , ,
2018-02-15,06:20,     ,     ,1,1,1,1,1,   0,   1,   0,   1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , ,1,   ,  1,   ,   , , , , , , , ,1, ,1, ,1, ,1,    ,   1,    ,   1, ,1, ,1,     , , ,
2018-02-14,04:49,     ,     ,1,1,1,1,1,   1,    ,   1,    ,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,  1,   , , , , ,   ,   , , ,  0,   ,   ,   , , , , , , ,1,1,1,1,1,1,1,1,   0,    ,    ,    ,1,1,1,1,     , , ,
2018-02-13,08:43,     ,     ,2,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1, ,1,1,1,1,1, , ,1, ,   ,   , , , , ,   ,   , , ,  1,   ,   ,   , , , , , , ,1, ,1, ,1,1,1,1,   1,   1,   0,   1,1,1,1,1,     , , ,
2018-02-12,04:44,     ,     ,2,1,1,1,1,   1,   1,   1,   1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,   ,   , , ,0, ,   ,   , , ,  1,   ,   ,   , , , , , , , , ,1,1,1,1, ,1,    ,   1,    ,   1, ,1, ,1,     , , ,
2018-02-11,08:56,     ,     ,2,1,1,1,1, 0.4,   1,   1, 0.5,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,  1,   ,1, ,1, ,  1,  1,1,1,   ,  1,   ,   ,1,1,1,1,1, ,1,1,1, ,1,1,1,1,   1,    ,   1,    ,1,1,1,1,     , , ,
2018-02-10,09:05,     ,     ,2,1,1,1,1, 0.5,   1, 0.5, 0.5,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,   ,   , , , , ,  0,  1,0,1,  0,  1,  0,  1,0,1,0,1, , ,1,1,0,1,0,1,0,1,   0,    ,   0,    ,0,1,0,1,     , , ,
2018-02-09,05:57,     ,     ,2,1,1,1,1,   0,   1,   0,   1,1,1,1,1,1,1,1,1,0,0,1,1, , , ,1,   ,   , , , , ,  1,  1, , ,  0,  1,  1,  1,1,1, , , , , ,1,0,1,0,1,0,1,   0,    ,   0,    , ,1,0,1,     , , ,
2018-02-08,05:47,     ,     ,2,1,1,1,1,   1,   1, 0.5, 0.5,1,1,1,1,1,1,1,1,1,1,1,1, , , , ,   ,   ,0, ,0, ,  1,   ,1, ,  1,   ,  1,   ,1,1, , , , ,1, ,1, ,1,1,0,1,   0,    ,   0,    ,1,1,0,1,     , , ,
2018-02-07,04:19,     ,     ,2,1,1,1,1,   1,   1, 0.5,   1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,   ,   , , , , ,  1,  1,1, ,  1,  1,   ,   , , , , , , ,1, ,0, ,1,1,1,1,    ,    ,    ,    ,1,1,0,1,     , , ,
