Date, AM Time, Accomplished, Goal, Todo/Calendar, AM Eye,, Make Bed,, AM Exercise,, AM Jaw,, AM Meds,, AM Food,, AM Teeth,, AM Bathe,, AM Fissure,, AM Dressed,, Awareness,, AM Eye 2,, Lunch,, Lunch Meds,, Lunch Fissure,, Shielding,, Welding,, EEG,, Organization,, Travel Prep,, Academic,, PM Eye,, PM Food,, PM Meds,, PM Teeth,, PM Fissure,, PM Exercise,, PM Jaw,, PM Eye,, Dental Guard,, PM Time, Other,, Notes
Date      , Time,Actua,Goal ,T,EY,,MB,,PT  ,    ,  JE,    ,MD,,FD,,BT,,  SH,,FT,,CL,,SS,,EY,,FD ,   ,MD,,FT,,EM ,   ,WL,,OV ,   ,PL ,   ,PK,,EE,,EY,,FD,,MD,,BT,,FT,,PT  ,    ,JE  ,    ,EY,,DG,, Time,Ot,,N
          ,     ,     ,     , ,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,A,G,  A,G,A,G,A,G,A,G,A,G,Act,Goa,A,G,A,G,Act,Goa,A,G,Act,Goa,Act,Goa,A,G,A,G,A,G,A,G,A,G,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,     ,A,G,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
# IT'S 2019 NOW USE THE OTHER FILE,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-31,07:21,     ,     , ,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-12-30,     ,     ,     , , ,1, ,1,    ,    ,    ,    , ,1, ,1, ,1,   ,1, ,1, ,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-12-29,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-28,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-27,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-26,07:59,     ,     , ,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , ,1, ,1, ,1, ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-12-25,07:33,     ,     , ,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , ,1,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-12-24,08:47,     ,     , ,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    ,1,1,0,1,     , , ,
2018-12-23,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-22,07:31,     ,     , , ,1, ,1,    ,    ,    ,    , ,1, ,1, ,1,   ,1, ,1, ,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-12-21,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-20,07:11,     ,     , ,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-19,10:15,     ,     , ,1,1,1,1,    ,    ,    ,    ,0,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , ,1,O:dr mooney call
2018-12-18,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-17,07:36,     ,     , ,1,1,0, , 0.5,    ,    ,    ,1,1,1,1,1,1,  1,1,1, ,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , ,4,O:bouboulis bill; contact jim; davis college; a little coding work
2018-12-16,07:42,     ,     , , ,1, , ,    ,    ,    ,    , , , ,1,1,1,   ,1, , , ,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-12-15,06:20,     ,     ,1,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,  1,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , ,0,1,1,1,0,1,1,1, , ,    ,    ,    ,    ,1,1,0,1,     , , ,ended up visiting gwyn at night after spending day settup up her mom's computer
2018-12-14,07:17,     ,     , , ,1, ,1,    ,    ,    ,    , ,1, ,1, ,1,   ,1, ,1, ,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , ,1, ,1, ,1, ,1, , ,    ,    ,    ,    , ,1, ,1,     , ,2,O:any calendar goals
2018-12-13,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-12,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-11,07:51,     ,     , ,1,1,1,1,   0,    ,   0,    ,1,1,1,1,1,1,  0,1,0,1,1,1,0, ,1,1,   ,   , ,1, , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-12-10,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-09,06:43,     ,     , , ,1, ,1,    ,    ,    ,    , ,1, ,1, ,1,   ,1, ,1, ,1, , , ,1,   ,  1, , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , ,1,1, , ,    ,    ,    ,    ,1,1,1,1,     , , ,
2018-12-08,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-07,11:07,     ,     , , ,1, ,1,    ,    ,    ,    , ,1, ,1,1,1,   ,1, ,1, ,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-12-06,08:03,     ,     , ,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,0,1,1,1, , ,1,1,  1,   ,1, ,0, ,   ,   , , ,   ,   ,  1,   , , , , ,1, ,1,1, ,1,1,1, , ,    ,    ,    ,    ,1,1,0,1,     , , ,
2018-12-05,06:52,     ,     , ,1,1,0,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,0,1, ,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , ,1, , , ,0, , , ,    ,    ,    ,    ,1, ,0, ,     , , ,
2018-12-04,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-03,10:33,     ,     , ,1,1, ,1,    ,    ,    ,    , ,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,  1,   , , , , , , , , , ,1,1,1, , ,    ,    ,    ,    , , , ,1,     , , ,
